time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placements
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Education setting with URN,24
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Registered provider with UKPRN,153
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Work based placement,4
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,823,Central Bedfordshire,E06000056,Total,214
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Registered provider with UKPRN,171
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Other unregistered provider,37
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,One on one tuition,120
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Education setting with URN,372
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,873,Cambridgeshire,E10000003,Total,700
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Education setting with URN,129
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Other unregistered provider,12
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,874,Peterborough,E06000031,Total,141
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Education setting with URN,492
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Other unregistered provider,823
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Total,1315
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Registered provider with UKPRN,13
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,One on one tuition,14
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Education setting with URN,28
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Total,55
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,One on one tuition,74
