time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,classtype,size,number_of_classes,number_of_pupils,average_class_size
201718,Academic year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Secondary,Total,2013,43348,21.53402881
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Infant (Reception plus KS1),1 to 30,1501,43073,28.69620253
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Infant (Reception plus KS1),31 to 35,65,2017,31.03076923
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Infant (Reception plus KS1),Total,1566,45090,28.79310345
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,KS2,1 to 30,1712,48659,28.42231308
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,KS2,31 to 35,272,8529,31.35661765
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,KS2,36 plus,1,43,43
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,KS2,Total,1985,57231,28.83173804
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,1 to 30,3371,94109,27.91723524
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,31 to 35,341,10680,31.31964809
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,36 plus,19,778,40.94736842
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,Total,3731,105567,28.2945591
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,1 to 30,3179,65677,20.6596414
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,31 to 35,193,6127,31.74611399
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,36 plus,3,204,68
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,Total,3377,72008,21.32306781
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Infant (Reception plus KS1),1 to 30,436,12123,27.80504587
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Infant (Reception plus KS1),31 to 35,5,155,31
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Infant (Reception plus KS1),Total,441,12278,27.84126984
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,KS2,1 to 30,473,13276,28.06765328
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,KS2,31 to 35,47,1471,31.29787234
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,KS2,Total,520,14747,28.35961538
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,1 to 30,1041,28458,27.33717579
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,31 to 35,62,1944,31.35483871
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,36 plus,5,240,48
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,Total,1108,30642,27.65523466
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,1 to 30,880,17644,20.05
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,31 to 35,65,2081,32.01538462
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,36 plus,4,147,36.75
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,Total,949,19872,20.93993678
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Infant (Reception plus KS1),1 to 30,376,10689,28.42819149
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Infant (Reception plus KS1),31 to 35,17,527,31
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Infant (Reception plus KS1),Total,393,11216,28.5394402
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,KS2,1 to 30,453,12430,27.4392936
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,KS2,31 to 35,64,2020,31.5625
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,KS2,Total,517,14450,27.94970986
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,1 to 30,874,23938,27.38901602
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,31 to 35,82,2579,31.45121951
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,36 plus,6,239,39.83333333
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,Total,962,26756,27.81288981
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,1 to 30,695,14638,21.0618705
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,31 to 35,69,2195,31.8115942
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,36 plus,3,134,44.66666667
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,Total,767,16967,22.12125163
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Infant (Reception plus KS1),1 to 30,414,12018,29.02898551
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Infant (Reception plus KS1),31 to 35,69,2143,31.05797101
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Infant (Reception plus KS1),Total,483,14161,29.31884058
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,KS2,1 to 30,417,11961,28.68345324
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,KS2,31 to 35,173,5408,31.26011561
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,KS2,Total,590,17369,29.43898305
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,1 to 30,918,25613,27.90087146
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,31 to 35,250,7812,31.248
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,36 plus,5,196,39.2
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,Total,1173,33621,28.66240409
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Secondary,1 to 30,986,19432,19.70791075
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Secondary,31 to 35,25,797,31.88
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Secondary,Total,1011,20229,20.00890208
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Infant (Reception plus KS1),1 to 30,244,6863,28.12704918
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Infant (Reception plus KS1),31 to 35,40,1253,31.325
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Infant (Reception plus KS1),Total,284,8116,28.57746479
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,KS2,1 to 30,300,8224,27.41333333
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,KS2,31 to 35,45,1438,31.95555556
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,KS2,Total,345,9662,28.0057971
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary,1 to 30,597,16350,27.38693467
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary,31 to 35,83,2627,31.65060241
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary,36 plus,3,117,39
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary,Total,683,19094,27.95607613
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Secondary,1 to 30,749,15537,20.74365821
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Secondary,31 to 35,34,1079,31.73529412
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Secondary,Total,783,16616,21.22094508
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Infant (Reception plus KS1),1 to 30,346,9682,27.98265896
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Infant (Reception plus KS1),31 to 35,28,873,31.17857143
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Infant (Reception plus KS1),Total,374,10555,28.22192513
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,KS2,1 to 30,385,10609,27.55584416
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,KS2,31 to 35,81,2564,31.65432099
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,KS2,Total,466,13173,28.26824034
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary,1 to 30,829,22263,26.85524729
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary,31 to 35,111,3505,31.57657658
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary,36 plus,2,86,43
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary,Total,942,25854,27.44585987
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Secondary,1 to 30,892,17660,19.79820628
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Secondary,31 to 35,44,1386,31.5
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Secondary,36 plus,2,157,78.5
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Secondary,Total,938,19203,20.47228145
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Infant (Reception plus KS1),1 to 30,313,8894,28.41533546
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Infant (Reception plus KS1),31 to 35,19,593,31.21052632
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Infant (Reception plus KS1),Total,332,9487,28.5753012
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,KS2,1 to 30,307,8670,28.24104235
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,KS2,31 to 35,106,3366,31.75471698
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,KS2,Total,413,12036,29.14285714
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary,1 to 30,671,18706,27.87779434
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary,31 to 35,130,4121,31.7
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary,36 plus,2,75,37.5
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary,Total,803,22902,28.52054795
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Secondary,1 to 30,738,14293,19.36720867
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Secondary,31 to 35,41,1307,31.87804878
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Secondary,36 plus,1,37,37
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Secondary,Total,780,15637,20.0474359
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Infant (Reception plus KS1),1 to 30,799,21123,26.43679599
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Infant (Reception plus KS1),31 to 35,51,1592,31.21568627
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Infant (Reception plus KS1),Total,850,22715,26.72352941
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,KS2,1 to 30,794,20714,26.08816121
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,KS2,31 to 35,218,6986,32.04587156
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,KS2,36 plus,3,108,36
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,KS2,Total,1015,27808,27.39704433
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary,1 to 30,1928,49522,25.68568465
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary,31 to 35,300,9573,31.91
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary,36 plus,4,144,36
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary,Total,2232,59239,26.54077061
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Secondary,1 to 30,1961,40661,20.73482917
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Secondary,31 to 35,236,7519,31.86016949
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Secondary,36 plus,6,251,41.83333333
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Secondary,Total,2203,48431,21.98411257
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Infant (Reception plus KS1),1 to 30,277,7790,28.12274368
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Infant (Reception plus KS1),31 to 35,47,1472,31.31914894
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Infant (Reception plus KS1),Total,324,9262,28.58641975
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,KS2,1 to 30,330,9216,27.92727273
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,KS2,31 to 35,62,1955,31.53225806
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,KS2,36 plus,1,38,38
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,KS2,Total,393,11209,28.5216285
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary,1 to 30,722,19642,27.20498615
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary,31 to 35,114,3592,31.50877193
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary,36 plus,13,608,46.76923077
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary,Total,849,23842,28.08244994
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Secondary,1 to 30,571,11727,20.53765324
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Secondary,31 to 35,20,629,31.45
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Secondary,Total,591,12356,20.90693739
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Infant (Reception plus KS1),1 to 30,147,3832,26.06802721
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Infant (Reception plus KS1),31 to 35,7,219,31.28571429
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Infant (Reception plus KS1),Total,154,4051,26.30519481
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",KS2,1 to 30,205,5221,25.46829268
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",KS2,31 to 35,27,855,31.66666667
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",KS2,Total,232,6076,26.18965517
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary,1 to 30,431,10638,24.68213457
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary,31 to 35,40,1271,31.775
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary,36 plus,1,36,36
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary,Total,472,11945,25.30720339
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Secondary,1 to 30,371,7663,20.65498652
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Secondary,31 to 35,39,1240,31.79487179
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Secondary,36 plus,2,76,38
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Secondary,Total,412,8979,21.79368932
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Infant (Reception plus KS1),1 to 30,579,15260,26.35578584
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Infant (Reception plus KS1),31 to 35,11,343,31.18181818
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Infant (Reception plus KS1),Total,590,15603,26.44576271
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,KS2,1 to 30,552,14677,26.58876812
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,KS2,31 to 35,34,1059,31.14705882
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,KS2,36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,KS2,Total,586,15736,26.85324232
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary,1 to 30,1370,35725,26.07664234
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary,31 to 35,78,2465,31.6025641
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary,36 plus,7,307,43.85714286
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary,Total,1455,38497,26.45841924
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Secondary,1 to 30,1449,28458,19.63975155
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Secondary,31 to 35,130,4123,31.71538462
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Secondary,36 plus,7,298,42.57142857
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Secondary,Total,1586,32879,20.73076923
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Infant (Reception plus KS1),1 to 30,209,5480,26.22009569
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Infant (Reception plus KS1),31 to 35,10,310,31
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Infant (Reception plus KS1),Total,219,5790,26.43835616
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,KS2,1 to 30,206,5337,25.90776699
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,KS2,31 to 35,73,2364,32.38356164
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,KS2,36 plus,2,73,36.5
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,KS2,Total,281,7774,27.66548043
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary,1 to 30,636,15946,25.07232704
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary,31 to 35,114,3660,32.10526316
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary,36 plus,11,465,42.27272727
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary,Total,761,20071,26.37450723
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Secondary,1 to 30,646,13525,20.93653251
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Secondary,31 to 35,51,1623,31.82352941
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Secondary,Total,697,15148,21.73314204
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Infant (Reception plus KS1),1 to 30,205,5769,28.14146341
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Infant (Reception plus KS1),31 to 35,12,375,31.25
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Infant (Reception plus KS1),Total,217,6144,28.31336406
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,KS2,1 to 30,214,5779,27.0046729
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,KS2,31 to 35,78,2517,32.26923077
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,KS2,36 plus,3,109,36.33333333
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,KS2,Total,295,8405,28.49152542
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary,1 to 30,469,12577,26.81663113
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary,31 to 35,92,2957,32.14130435
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary,36 plus,7,280,40
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary,Total,568,15814,27.8415493
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Secondary,1 to 30,525,10510,20.01904762
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Secondary,31 to 35,16,509,31.8125
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Secondary,Total,541,11019,20.36783734
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Infant (Reception plus KS1),1 to 30,546,14931,27.34615385
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Infant (Reception plus KS1),31 to 35,17,528,31.05882353
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Infant (Reception plus KS1),36 plus,0,0,z
201718,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Infant (Reception plus KS1),Total,563,15459,27.45825933
