time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,classtype,size,number_of_classes,number_of_pupils,average_class_size
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),1 to 30,171,4503,26.33333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),31 to 35,1,31,31
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Infant (Reception plus KS1),Total,172,4534,26.36046512
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,1 to 30,193,5063,26.23316062
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,31 to 35,21,662,31.52380952
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,36 plus,1,37,37
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS2,Total,215,5762,26.8
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,1 to 30,390,10060,25.79487179
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,31 to 35,24,762,31.75
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,36 plus,5,197,39.4
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary,Total,419,11019,26.29832936
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,1 to 30,380,7296,19.2
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,31 to 35,13,409,31.46153846
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,36 plus,2,128,64
201516,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Secondary,Total,395,7833,19.83037975
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),1 to 30,296,7726,26.10135135
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),31 to 35,16,499,31.1875
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Infant (Reception plus KS1),Total,312,8225,26.36217949
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,1 to 30,380,9676,25.46315789
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,31 to 35,40,1265,31.625
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS2,Total,420,10941,26.05
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,1 to 30,748,18875,25.23395722
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,31 to 35,64,2025,31.640625
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,36 plus,3,146,48.66666667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,Total,815,21046,25.82331288
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,1 to 30,727,13760,18.92709766
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,31 to 35,43,1366,31.76744186
201516,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,Total,770,15126,19.64415584
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Infant (Reception plus KS1),1 to 30,108,2690,24.90740741
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Infant (Reception plus KS1),31 to 35,6,190,31.66666667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Infant (Reception plus KS1),Total,114,2880,25.26315789
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,KS2,1 to 30,141,3455,24.5035461
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,KS2,31 to 35,6,189,31.5
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,KS2,Total,147,3644,24.78911565
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,1 to 30,310,7529,24.28709677
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,31 to 35,15,473,31.53333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,36 plus,2,109,54.5
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,Total,327,8111,24.80428135
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,1 to 30,240,4759,19.82916667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,31 to 35,12,373,31.08333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,Total,252,5132,20.36507937
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Infant (Reception plus KS1),1 to 30,181,4561,25.19889503
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Infant (Reception plus KS1),31 to 35,6,189,31.5
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Infant (Reception plus KS1),Total,187,4750,25.40106952
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,KS2,1 to 30,212,5086,23.99056604
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,KS2,31 to 35,21,663,31.57142857
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,KS2,Total,233,5749,24.67381974
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,1 to 30,475,11378,23.95368421
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,31 to 35,35,1114,31.82857143
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,36 plus,9,350,38.88888889
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,Total,519,12842,24.74373796
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,1 to 30,366,6908,18.87431694
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,31 to 35,12,381,31.75
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,36 plus,1,48,48
201516,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,Total,379,7337,19.35883905
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Infant (Reception plus KS1),1 to 30,165,3791,22.97575758
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Infant (Reception plus KS1),31 to 35,1,32,32
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Infant (Reception plus KS1),Total,166,3823,23.03012048
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,KS2,1 to 30,202,4619,22.86633663
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,KS2,31 to 35,18,569,31.61111111
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,KS2,Total,220,5188,23.58181818
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,1 to 30,437,9867,22.57894737
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,31 to 35,21,666,31.71428571
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,36 plus,12,472,39.33333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,Total,470,11005,23.41489362
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,1 to 30,375,7227,19.272
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,31 to 35,21,657,31.28571429
201516,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,Total,396,7884,19.90909091
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Infant (Reception plus KS1),1 to 30,248,6270,25.28225806
201516,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Infant (Reception plus KS1),31 to 35,10,311,31.1
