time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placement_reason,number_of_placements,denominator,perc_placements
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,One on one tuition,Total,336,1417,23.71206775
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Other unregistered provider,Total,660,1417,46.57727594
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Total,1417,1417,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Mental health need,3,1417,0.21171489
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,New arrival without a school place,10,1417,0.705716302
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Other including pregnancy/childcare,622,1417,43.89555399
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Permanent exclusion,460,1417,32.46294989
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Physical health need,2,1417,0.14114326
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Pupil in young offender institutes / secure training centres,1,1417,0.07057163
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,Nottinghamshire,E10000024,Total,Setting named on EHC plan,319,1417,22.51235004
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Education setting with UKPRN,Total,15,157,9.554140127
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Education setting with URN,Total,91,157,57.96178344
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Non-maintained further education college,Total,24,157,15.2866242
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,One on one tuition,Total,24,157,15.2866242
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Other unregistered provider,Total,3,157,1.910828025
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Total,Total,157,157,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Total,Mental health need,37,157,23.56687898
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Total,New arrival without a school place,2,157,1.27388535
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Total,Other including pregnancy/childcare,116,157,73.88535032
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,892,Nottingham,E06000018,Total,Physical health need,2,157,1.27388535
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Education setting with UKPRN,Total,14,653,2.143950995
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Education setting with URN,Total,480,653,73.50689127
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,One on one tuition,Total,159,653,24.34915773
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,Total,653,653,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,Mental health need,1,653,0.153139356
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,New arrival without a school place,34,653,5.206738131
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,Other including pregnancy/childcare,94,653,14.39509954
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,Permanent exclusion,100,653,15.31393568
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,Physical health need,1,653,0.153139356
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,Lincolnshire,E10000019,Total,Setting named on EHC plan,423,653,64.77794793
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Education setting with UKPRN,Total,6,659,0.910470409
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Education setting with URN,Total,450,659,68.28528073
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Non-maintained further education college,Total,1,659,0.151745068
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,One on one tuition,Total,171,659,25.94840668
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Other unregistered provider,Total,31,659,4.704097116
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Total,Total,659,659,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Total,New arrival without a school place,66,659,10.01517451
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Total,Permanent exclusion,170,659,25.79666161
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,940,North Northamptonshire,E06000061,Total,Setting named on EHC plan,423,659,64.18816388
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Education setting with URN,Total,302,315,95.87301587
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Other unregistered provider,Total,13,315,4.126984126
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Total,Total,315,315,100
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Total,Other including pregnancy/childcare,55,315,17.46031746
202425,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,West Northamptonshire,E06000062,Total,Setting named on EHC plan,260,315,82.53968254
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Education setting with URN,Total,41,70,58.57142857
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,821,Luton,E06000032,Non-maintained further education college,Total,9,70,12.85714286
