time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Off-site placement for behavioural support,One on one tuition,83
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,435
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,53
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Off-site placement for behavioural support,Total,992
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Off-site placement for behavioural support,Work based placement,50
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,Education setting with URN,99
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,Non-maintained further education college,5
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,One on one tuition,24
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,Other unregistered provider,100
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,Registered provider with UKPRN,32
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,Total,294
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Other,Work based placement,34
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Permanent exclusion (where still going through the review process),Education setting with URN,5
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Permanent exclusion (where still going through the review process),One on one tuition,1
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Permanent exclusion (where still going through the review process),Other unregistered provider,247
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Permanent exclusion (where still going through the review process),Registered provider with UKPRN,6
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Permanent exclusion (where still going through the review process),Total,260
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Placement Reason,Permanent exclusion (where still going through the review process),Work based placement,1
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,Education setting with URN,632
