term,ngram,total_frequency,article_count
girls,1,8,3
martin,1,8,3
phone,1,8,3
send system,2,8,3
social media,2,8,3
transport,1,8,3
white paper,2,8,3
blazers,1,8,2
bright,1,8,2
claimants,1,8,2
drug,1,8,2
group claim,2,8,2
healthcare,1,8,2
pre-action letters,2,8,2
student group,2,8,2
student group claim,3,8,2
allergy,1,8,1
asylum,1,8,1
commonwealth,1,8,1
effects,1,8,1
equity punks,2,8,1
neets,1,8,1
visas,1,8,1
heard,1,7,7
remain,1,7,7
sounds,1,7,7
working,1,7,7
college,1,7,6
comment,1,7,6
introduced,1,7,6
means,1,7,6
meant,1,7,6
missed,1,7,6
once,1,7,6
parent,1,7,6
same,1,7,6
spokesperson,1,7,6
weeks,1,7,6
worked,1,7,6
although,1,7,5
attack,1,7,5
consistent,1,7,5
create,1,7,5
current,1,7,5
died,1,7,5
experiences,1,7,5
hospital,1,7,5
medical,1,7,5
process,1,7,5
raise,1,7,5
received,1,7,5
responsible,1,7,5
trial,1,7,5
typically,1,7,5
challenge,1,7,4
does,1,7,4
east,1,7,4
example,1,7,4
feels,1,7,4
inclusive,1,7,4
loved,1,7,4
major,1,7,4
particularly,1,7,4
phillipson,1,7,4
provision,1,7,4
real,1,7,4
reform,1,7,4
suggested,1,7,4
young person,2,7,4
complex needs,2,7,3
crime,1,7,3
data,1,7,3
ever,1,7,3
finance,1,7,3
house,1,7,3
return,1,7,3
scheme,1,7,3
sold,1,7,3
teaching,1,7,3
contract,1,7,2
footage,1,7,2
king,1,7,2
murders,1,7,2
prescribed,1,7,2
safeguarding,1,7,2
shows,1,7,2
student loans,2,7,2
threshold,1,7,2
tuition,1,7,2
violence,1,7,2
weight,1,7,2
card,1,7,1
essex,1,7,1
grok,1,7,1
hamilton,1,7,1
kenny,1,7,1
michael,1,7,1
nursery,1,7,1
oxford united,2,7,1
presentation,1,7,1
shooting,1,7,1
side effects,2,7,1
uniforms,1,7,1
yellow,1,7,1
yellow card,2,7,1
affected,1,6,6
cannot,1,6,6
disabilities send,2,6,6
either,1,6,6
events,1,6,6
future,1,6,6
needs disabilities send,3,6,6
newsletter,1,6,6
order,1,6,6
response,1,6,6
responsibility,1,6,6
term,1,6,6
warning,1,6,6
average,1,6,5
behind,1,6,5
clear,1,6,5
condition,1,6,5
department education,2,6,5
fight,1,6,5
flagship,1,6,5
half,1,6,5
huge,1,6,5
identify,1,6,5
independent,1,6,5
keep,1,6,5
listen,1,6,5
millions,1,6,5
never,1,6,5
october,1,6,5
outcomes,1,6,5
past,1,6,5
plus,1,6,5
sign here,2,6,5
spent,1,6,5
thousands,1,6,5
annual,1,6,4
april,1,6,4
attention,1,6,4
centre,1,6,4
costs,1,6,4
doubt,1,6,4
firm,1,6,4
focused,1,6,4
forward,1,6,4
free,1,6,4
leader,1,6,4
less,1,6,4
line,1,6,4
linked,1,6,4
makes,1,6,4
manchester,1,6,4
measure,1,6,4
practical,1,6,4
prevent,1,6,4
quality,1,6,4
saying,1,6,4
ultimately,1,6,4
abuse,1,6,3
academic,1,6,3
budget,1,6,3
came,1,6,3
clubs,1,6,3
consultation,1,6,3
countries,1,6,3
decade,1,6,3
fees,1,6,3
government plans,2,6,3
involved,1,6,3
liverpool,1,6,3
loan repayments,2,6,3
local authorities,2,6,3
make sure,2,6,3
positive,1,6,3
professionals,1,6,3
relationship,1,6,3
reserved,1,6,3
series,1,6,3
support plans,2,6,3
sure,1,6,3
talk,1,6,3
tragedy,1,6,3
wasn,1,6,3
bars,1,6,2
bomb,1,6,2
during pandemic,2,6,2
holly,1,6,2
injured,1,6,2
loss,1,6,2
payments,1,6,2
plan loans,2,6,2
political,1,6,2
revealed,1,6,2
treatment,1,6,2
active,1,6,1
allergies,1,6,1
blair,1,6,1
bright horizons,2,6,1
chloe,1,6,1
family friends,2,6,1
horizons,1,6,1
mounjaro,1,6,1
mountbatten-windsor,1,6,1
reservoir,1,6,1
ross,1,6,1
sophie,1,6,1
thoughts,1,6,1
actually,1,5,5
appropriate,1,5,5
best,1,5,5
better,1,5,5
chief,1,5,5
complaints,1,5,5
experience,1,5,5
facebook,1,5,5
facebook instagram,2,5,5
gave,1,5,5
growing,1,5,5
headlines,1,5,5
instagram,1,5,5
instead,1,5,5
itself,1,5,5
leaving,1,5,5
members,1,5,5
opportunity,1,5,5
pressure,1,5,5
quickly,1,5,5
regularly,1,5,5
result,1,5,5
starting,1,5,5
strong,1,5,5
thought,1,5,5
trying,1,5,5
whose,1,5,5
within,1,5,5
written,1,5,5
argued,1,5,4
arrived,1,5,4
associated,1,5,4
association,1,5,4
believed,1,5,4
bringing,1,5,4
calling,1,5,4
