term,ngram,total_frequency,article_count
secretary bridget phillipson,3,33,31
live,1,33,27
responsibility,1,33,27
children complex,2,33,26
focus,1,33,25
small,1,33,25
concerned,1,33,24
possible,1,33,24
research,1,33,19
union,1,33,18
pupil,1,33,17
reduce,1,32,29
send provision,2,32,26
leave,1,32,25
always,1,32,24
fear,1,32,24
moment,1,32,23
statutory,1,32,21
behind,1,32,20
disability,1,32,20
almost,1,31,25
half,1,31,23
past,1,31,23
warned,1,31,23
association,1,31,22
didn,1,31,22
effective,1,31,22
huge,1,31,22
prime,1,31,22
specialist support,2,31,22
parliament,1,31,21
believes,1,31,19
four,1,31,19
information,1,31,16
behaviour,1,31,15
welsh,1,31,9
provided,1,30,27
pressure,1,30,26
achieve,1,30,25
right support,2,30,25
whose,1,30,25
actually,1,30,24
continue,1,30,23
built,1,30,22
prime minister,2,30,21
specialist provision,2,30,21
heard,1,30,19
mental,1,30,19
questions,1,30,19
stop,1,30,19
year-old,1,30,19
case,1,30,16
guidance,1,30,14
deficits,1,30,13
northern,1,30,13
letter,1,30,12
inquiry,1,30,8
arlene,1,30,1
despite,1,29,24
lead,1,29,24
least,1,29,24
send reforms,2,29,24
weeks,1,29,24
central,1,29,22
crisis,1,29,21
described,1,29,21
lack,1,29,21
particularly,1,29,21
ever,1,29,20
legislation,1,29,19
open,1,29,19
shows,1,29,18
course,1,29,17
investigation,1,29,16
pierce,1,29,1
beyond,1,28,23
days,1,28,23
directly,1,28,23
major,1,28,22
wants,1,28,22
campaign,1,28,21
challenges,1,28,21
children needs,2,28,21
free,1,28,21
local authority,2,28,21
wanted,1,28,21
introduced,1,28,20
safe,1,28,20
additional needs,2,28,19
backed,1,28,19
challenge,1,28,18
mental health,2,28,18
never,1,28,18
hand,1,28,16
strategy,1,28,14
daughter,1,28,12
medical,1,28,12
northern ireland,2,28,12
disabled children,2,28,11
increasing,1,27,24
sign,1,27,24
giving,1,27,23
remain,1,27,23
anything,1,27,22
greater,1,27,22
growing,1,27,20
identified,1,27,20
impact,1,27,20
support need,2,27,20
confidence,1,27,19
felt,1,27,19
result,1,27,19
story,1,27,19
budgets,1,27,18
programme,1,27,18
thrive,1,27,17
statement,1,27,15
mother,1,27,10
universities,1,27,10
second,1,27,9
graduates,1,27,8
violence,1,27,7
broken,1,26,23
period,1,26,22
latest,1,26,21
legally,1,26,21
children complex needs,3,26,20
children young send,3,26,20
find,1,26,20
terms,1,26,20
details,1,26,19
facing,1,26,19
outcomes children,2,26,19
plus,1,26,19
raised,1,26,19
rate,1,26,19
speaking,1,26,19
fewer,1,26,18
school places,2,26,18
worried,1,26,18
pupils send,2,26,16
share,1,26,16
follow,1,25,23
providing,1,25,23
therapists,1,25,22
coming,1,25,21
hard,1,25,21
little,1,25,21
longer,1,25,21
problem,1,25,21
attend,1,25,20
chief,1,25,20
executive,1,25,20
lives,1,25,20
play,1,25,20
dedicated,1,25,19
known,1,25,19
march,1,25,19
previous,1,25,19
safety,1,25,18
april,1,25,17
cannot,1,25,17
former,1,25,17
make sure,2,25,17
rachel,1,25,17
young person,2,25,17
aware,1,25,16
east,1,25,15
county council,2,25,13
online,1,25,13
affected,1,24,21
failed,1,24,21
looking,1,24,21
benefit,1,24,20
ensuring,1,24,20
included,1,24,20
pressures,1,24,20
required,1,24,20
levels,1,24,19
numbers,1,24,19
child needs,2,24,18
includes,1,24,18
involved,1,24,18
others,1,24,18
specialist places,2,24,18
academic,1,24,17
previously,1,24,17
read,1,24,17
analysis,1,24,16
capacity,1,24,16
private,1,24,16
adhd,1,24,14
north,1,24,14
workforce,1,24,14
higher,1,24,13
debt,1,24,10
send tribunal,2,24,10
abuse,1,24,9
victims,1,24,9
posts,1,24,6
epstein,1,24,5
spent,1,23,23
everyone,1,23,21
english,1,23,20
highest,1,23,20
term,1,23,20
total,1,23,20
learn,1,23,19
measures,1,23,19
physical,1,23,19
record,1,23,19
stage,1,23,19
studies,1,23,19
done,1,23,18
transform,1,23,18
across country,2,23,17
anyone,1,23,17
appropriate,1,23,17
chair,1,23,17
fund,1,23,17
keir,1,23,17
reassessed,1,23,17
took,1,23,17
started,1,23,16
communities,1,23,15
force,1,23,15
role,1,23,15
decision,1,23,14
paid,1,23,12
independent special,2,23,9
claim,1,23,8
definition,1,23,8
lord,1,23,5
fraser,1,23,1
meaning,1,22,21
doesn,1,22,20
groups,1,22,20
newsletter,1,22,20
detail,1,22,19
kind,1,22,19
member,1,22,19
planned,1,22,19
times,1,22,19
average,1,22,18
based,1,22,18
forward,1,22,18
failing,1,22,17
professionals,1,22,17
reviewed,1,22,17
risen,1,22,17
using,1,22,17
went,1,22,17
reach,1,22,16
require,1,22,16
living,1,22,15
meet needs,2,22,15
shared,1,22,15
figures,1,22,14
though,1,22,14
house,1,22,13
placements,1,22,13
planning,1,22,13
specific,1,22,13
travel,1,22,13
content,1,22,9
murder,1,22,6
ipsea,1,22,4
brought,1,21,20
language therapists,2,21,20
speech language therapists,3,21,20
towards,1,21,20
assessed,1,21,19
children families,2,21,19
control,1,21,19
institute,1,21,19
whole,1,21,19
ahead,1,21,18
difficult,1,21,18
liberal,1,21,18
building,1,21,17
calling,1,21,17
chief executive,2,21,17
lose,1,21,17
remains,1,21,17
starmer,1,21,17
chance,1,21,16
decisions,1,21,16
deserve,1,21,16
line,1,21,16
received,1,21,16
designed,1,21,15
expectations,1,21,15
generation,1,21,15
needs support,2,21,15
support should,2,21,15
expert,1,21,14
friends,1,21,14
laura,1,21,14
partnership,1,21,14
justice,1,21,12
price,1,21,12
above,1,21,11
nursery,1,21,10
british,1,21,9
threshold,1,21,9
born,1,21,8
andrew,1,21,7
nearly,1,20,19
children education,2,20,18
current system,2,20,18
outside,1,20,18
potential,1,20,18
welcomed,1,20,18
confirmed,1,20,17
fiscal,1,20,17
hundreds,1,20,17
leading,1,20,17
apply,1,20,16
delivering,1,20,16
secure,1,20,16
serious,1,20,16
strong,1,20,16
